,timestamp,open,high,low,close,volume
0,2020-01-02,130.0,130.0,126.06,126.9,1339.5519
1,2020-01-03,127.01,134.93,125.43,133.71,660.70515
2,2020-01-04,134.39,135.23,132.46,133.87,395.09383
3,2020-01-05,134.64,137.95,134.24,135.26,1297.00557
4,2020-01-06,135.14,144.23,134.77,143.99,1458.50897
5,2020-01-07,144.55,145.18,139.18,143.03,1079.23189
6,2020-01-08,142.87,147.75,137.59,140.5,1437.09562
7,2020-01-09,140.49,141.36,135.45,137.7,783.52201
8,2020-01-10,137.7,144.99,135.21,144.53,1330.22228
9,2020-01-11,144.53,148.0,142.12,142.58,837.95408
10,2020-01-12,142.0,146.36,142.0,146.29,531.39412
11,2020-01-13,147.0,147.0,142.28,143.82,528.42421
12,2020-01-14,143.5,171.0,143.5,166.02,4814.78304
13,2020-01-15,165.57,171.74,159.46,166.26,2621.56479
14,2020-01-16,167.0,167.14,158.49,164.32,1289.50324
15,2020-01-17,164.96,174.41,162.24,170.34,2991.47327
16,2020-01-18,170.0,179.24,164.64,173.92,3571.92477
17,2020-01-19,173.97,178.16,162.01,166.79,2281.64681
18,2020-01-20,167.26,169.18,161.35,166.76,1547.24891
19,2020-01-21,166.86,169.89,164.93,169.44,1741.61785
20,2020-01-22,169.63,171.01,165.97,167.56,1037.79255
21,2020-01-23,167.71,167.71,158.76,162.65,2135.45426
22,2020-01-24,162.27,164.19,155.32,162.21,1334.27056
23,2020-01-25,162.04,162.13,157.52,160.31,941.07479
24,2020-01-26,160.0,167.77,159.2,167.4,484.26054
25,2020-01-27,167.76,171.88,165.22,169.95,1475.57108
26,2020-01-28,169.96,178.02,169.96,175.89,3445.08491
27,2020-01-29,176.02,178.3,173.31,173.4,2677.34332
28,2020-01-30,173.34,186.84,170.39,184.17,3157.19462
29,2020-01-31,184.27,185.46,174.99,179.75,2229.59975
30,2020-02-01,179.75,184.0,179.05,183.48,1941.57099
31,2020-02-02,183.47,193.44,179.21,188.73,3601.58574
32,2020-02-03,187.77,196.0,186.64,189.78,2694.59855
33,2020-02-04,190.1,191.27,184.39,188.36,2492.41927
34,2020-02-05,188.31,207.69,187.67,203.86,4071.85252
35,2020-02-06,203.89,216.18,201.14,212.97,3330.91962
36,2020-02-07,212.89,224.25,212.89,223.35,3457.22434
37,2020-02-08,223.26,227.85,213.29,223.22,3081.0938
38,2020-02-09,223.22,231.03,223.22,228.73,2225.85651
39,2020-02-10,228.77,229.4,216.99,223.07,2034.17297
40,2020-02-11,223.0,239.8,218.13,237.87,3074.58257
41,2020-02-12,238.01,276.0,238.01,266.21,5592.60107
42,2020-02-13,266.51,278.66,257.5,269.05,5595.96137
43,2020-02-14,269.12,287.72,260.43,286.15,4275.15377
44,2020-02-15,285.77,289.14,262.0,265.16,7149.91286
45,2020-02-16,264.88,274.5,237.14,260.11,9120.60581
46,2020-02-17,259.51,268.44,242.75,267.71,8911.32557
47,2020-02-18,268.37,286.22,259.45,282.9,7615.13777
48,2020-02-19,283.4,287.0,251.46,258.98,9718.20431
49,2020-02-20,258.29,264.18,245.65,257.63,6916.76756
50,2020-02-21,257.57,268.83,254.59,265.7,4835.47984
51,2020-02-22,265.7,266.69,256.61,262.19,2756.00621
52,2020-02-23,262.19,276.62,261.61,276.0,4569.76781
53,2020-02-24,276.0,277.85,257.02,265.8,5786.03292
54,2020-02-25,265.65,266.08,244.81,246.56,5143.26832
55,2020-02-26,246.29,249.79,216.0,223.53,10999.59655
56,2020-02-27,223.7,238.45,209.8,227.0,8518.57464
57,2020-02-28,227.84,234.52,213.67,227.54,5410.08711
58,2020-02-29,227.6,233.0,217.23,217.42,4438.47438
59,2020-03-01,217.3,227.78,212.24,217.84,3590.82899
60,2020-03-02,217.56,234.08,215.92,232.0,3021.12647
61,2020-03-03,232.05,232.4,220.1,223.76,2836.0437
62,2020-03-04,223.56,228.67,220.4,224.66,3977.50079
63,2020-03-05,224.7,234.3,224.55,228.7,6394.6791
64,2020-03-06,228.53,246.69,227.86,245.61,4523.29497
65,2020-03-07,246.0,252.36,236.63,237.46,6467.4048
66,2020-03-08,237.31,237.31,196.39,199.3,13622.75279
67,2020-03-09,199.49,208.49,190.01,203.23,17801.69498
68,2020-03-10,202.96,206.33,195.68,200.48,5427.1696
69,2020-03-11,200.63,203.0,181.81,194.79,10192.70266
70,2020-03-12,195.31,195.54,101.0,108.56,44045.19032
71,2020-03-13,108.56,140.6,83.49,135.23,24545.93659
72,2020-03-14,135.43,136.58,120.72,122.3,7412.18533
73,2020-03-15,122.15,134.01,120.0,123.39,8981.5364
74,2020-03-16,122.0,123.69,100.82,111.0,16840.60676
75,2020-03-17,111.2,121.99,109.6,116.37,6726.63714
76,2020-03-18,116.17,118.99,110.37,118.59,9015.21847
77,2020-03-19,118.71,143.51,115.98,137.2,12103.35482
78,2020-03-20,137.13,153.16,117.64,133.68,16492.29199
79,2020-03-21,133.5,137.5,125.93,132.81,6623.77891
80,2020-03-22,132.5,137.03,121.07,122.35,10422.61608
81,2020-03-23,121.91,138.16,119.47,136.37,9758.0453
82,2020-03-24,136.8,144.18,133.0,138.89,11521.09685
83,2020-03-25,138.5,142.65,133.02,136.41,7305.92833
84,2020-03-26,136.3,139.72,133.5,138.96,6315.5089
