,timestamp,open,high,low,close,volume
0,2021-05-11,3950.4,4184.06,3773.47,4179.0,30720.2501
1,2021-05-12,4177.8,4382.0,3711.17,3831.06,44641.97302
2,2021-05-13,3818.83,4076.7,3501.0,3718.45,59562.95664
3,2021-05-14,3719.52,4178.69,3691.06,4079.18,30177.74286
4,2021-05-15,4078.81,4134.32,3630.0,3647.91,26594.18574
5,2021-05-16,3647.55,3878.79,3345.09,3584.25,38024.2703
6,2021-05-17,3583.91,3588.64,3111.0,3283.26,51306.63354
7,2021-05-18,3282.94,3566.5,3240.36,3377.09,31962.36117
8,2021-05-19,3378.14,3442.72,1801.0,2442.34,101899.3377
9,2021-05-20,2440.33,3000.0,2153.0,2775.17,69955.2025
10,2021-05-21,2774.9,2943.88,2100.0,2434.73,64593.42937
11,2021-05-22,2434.82,2487.65,2155.0,2297.44,57391.9142
12,2021-05-23,2297.1,2382.84,1730.32,2099.86,83071.80719
13,2021-05-24,2100.29,2680.24,2081.07,2649.0,64338.23014
14,2021-05-25,2649.0,2755.0,2380.0,2705.41,52123.09151
15,2021-05-26,2706.86,2913.32,2645.46,2890.26,45799.95294
16,2021-05-27,2889.48,2891.71,2635.0,2744.96,33730.64869
17,2021-05-28,2744.32,2763.46,2326.8,2413.43,42168.95703
18,2021-05-29,2413.03,2574.83,2207.0,2280.12,37229.44733
19,2021-05-30,2280.33,2484.96,2177.68,2387.65,34219.39995
20,2021-05-31,2386.34,2720.0,2275.14,2707.12,34868.4871
21,2021-06-01,2707.83,2740.11,2522.96,2633.75,45619.90923
22,2021-06-02,2633.42,2802.93,2552.03,2706.27,28217.65662
23,2021-06-03,2706.59,2890.0,2663.77,2855.84,26975.12815
24,2021-06-04,2856.0,2861.09,2550.0,2689.72,31927.5098
25,2021-06-05,2689.95,2817.19,2552.42,2628.73,29079.31196
26,2021-06-06,2628.64,2745.0,2614.28,2711.56,17694.05532
27,2021-06-07,2712.86,2847.0,2571.45,2593.48,28978.77125
28,2021-06-08,2592.67,2621.79,2304.0,2509.69,40098.47939
29,2021-06-09,2508.74,2627.46,2407.51,2610.81,36369.46098
30,2021-06-09,2508.74,2627.46,2407.51,2610.81,36369.46098
31,2021-06-10,2611.15,2624.97,2428.23,2472.22,22535.73301
32,2021-06-11,2470.32,2498.59,2320.56,2354.05,20921.85937
33,2021-06-12,2353.5,2454.74,2257.3,2370.65,18663.07886
34,2021-06-13,2371.37,2551.03,2309.12,2509.46,17801.48047
35,2021-06-14,2510.94,2609.24,2462.47,2581.99,17660.53306
36,2021-06-15,2582.15,2640.28,2507.82,2543.59,15951.42794
37,2021-06-16,2543.39,2555.27,2350.51,2368.08,17715.62853
38,2021-06-17,2367.11,2460.08,2306.51,2373.44,18825.83451
39,2021-06-18,2373.74,2378.17,2138.72,2234.61,23620.7795
40,2021-06-19,2234.88,2278.96,2162.15,2165.94,14947.59477
41,2021-06-20,2165.0,2276.99,2038.19,2242.46,23018.24346
42,2021-06-21,2242.73,2259.64,1865.0,1885.68,61327.42166
43,2021-06-22,1885.2,1996.1,1700.0,1880.51,46000.97494
44,2021-06-23,1880.58,2045.0,1822.6,1967.81,31891.52563
45,2021-06-24,1968.14,2035.8,1885.2,1988.83,18417.33346
46,2021-06-25,1989.4,2019.51,1791.6,1809.72,34569.00776
47,2021-06-26,1808.98,1852.22,1718.18,1829.17,28231.63351
48,2021-06-27,1829.49,1985.42,1807.0,1983.04,18813.58954
49,2021-06-28,1984.01,2144.4,1961.23,2084.32,35024.55257
50,2021-06-29,2084.32,2245.8,2074.71,2165.3,28612.3006
51,2021-06-30,2165.3,2287.3,2086.4,2275.76,31452.47558
52,2021-07-01,2276.09,2276.25,2073.58,2105.24,29057.57657
53,2021-07-02,2106.99,2160.33,2017.09,2154.9,24253.87154
